gene	SRR3581356	SRR3581681	SRR3581703	SRR3581727	SRR3581836	SRR3581847	SRR3581866	SRR3581867	SRR3581869	SRR3581889	SRR3581893	SRR3581894
AT1G69960.1	42.984142	24.867983	13.229712	24.432808	45.016891	26.583431	20.131817	20.626507	12.479280	27.654608	42.814819	25.382881
AT1G70450.1	0.811805	0.000000	0.000000	0.000000	1.091837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.478084
AT1G72890.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT1G72970.1	8.709412	1.996825	50.236744	278.100464	9.893067	2.616038	167.774994	158.892029	52.090900	335.812714	11.671755	110.884865
AT1G73620.1	57.656555	0.000000	0.002021	128.972641	47.674507	0.000000	20.548483	22.372435	0.000000	155.225250	3.275307	14.840308
AT1G75270.1	19.914160	7.929699	3.480485	12.649897	23.365040	6.156742	14.355134	11.701142	3.505712	15.165666	16.730480	22.177639
AT1G76290.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT1G77940.1	776.359253	99.267250	447.353058	631.029480	671.455688	109.155075	430.975220	541.761597	530.325562	651.718384	2440.899902	750.163635
AT1G80030.2	3.553051	8.956448	44.147205	0.000000	5.476890	13.025964	21.251228	18.367584	42.505245	7.732853	12.661717	32.413090
AT1G80090.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.523555	0.450908
AT1G80160.1	1.751897	9.352794	0.094632	0.441705	1.198628	7.828933	8.471403	15.579320	0.105744	0.989972	2.136171	1.034626
AT1G80390.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT2G01070.1	4.375367	0.000000	3.913994	0.004759	0.005914	4.161914	5.291034	4.190227	2.037298	4.993374	0.000000	0.003536
AT2G01670.1	87.372383	69.152046	29.610086	14.459278	81.639717	84.038986	24.251505	19.459440	27.338266	12.522349	2.262172	6.831523
AT2G15480.2	2.245223	4.282108	0.116680	0.000000	2.025891	2.414893	0.071944	0.235953	0.000000	0.000000	0.000000	3.642791
AT2G16090.1	4.931347	0.055739	0.890458	3.970831	7.982220	0.000000	0.000000	9.196575	0.000000	0.000000	0.593979	4.068120
AT2G19440.1	1.793242	0.000000	0.062215	1.184614	1.760089	0.138430	0.821322	1.006170	0.068985	1.544752	0.000000	0.378434
AT2G21540.2	0.000000	0.000000	0.000000	1.497833	0.000000	0.000000	0.000000	0.000000	0.000000	3.150496	0.000000	0.000000
AT2G21660.2	780.292908	490.737335	1407.310547	4.994156	616.377319	1378.868408	854.188660	1547.815186	401.898254	1075.363647	0.000000	733.638489
AT2G22960.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043758	1.059379	0.000000	0.000000	0.000000	0.000000
AT2G23150.1	10.161918	9.521069	8.326268	15.334714	10.145087	7.322766	17.889088	17.783382	6.783237	17.425787	27.469694	37.763569
AT2G23170.1	1.623085	1.704549	0.588423	0.179769	1.777862	1.445912	26.128286	10.267631	0.216860	0.861360	0.000000	12.961182
AT2G24500.1	43.658619	29.028204	22.014166	37.980984	51.727615	26.624643	13.889900	15.716926	19.579025	19.446226	70.491745	44.151917
AT2G26250.1	16.314777	48.266899	107.071358	231.349945	17.779476	56.406315	162.133286	166.488480	107.382698	240.493408	77.815102	241.893524
AT2G26870.1	0.485899	1.742787	10.656381	2.912036	0.399434	1.606385	5.865854	3.667020	9.714179	2.540353	2.442536	9.083320
AT2G26980.4	10.115401	10.461999	15.645952	12.448800	7.742683	18.964516	4.481894	12.980820	7.996335	15.619849	17.916836	5.629668
AT2G27285.1	21.894609	26.771578	18.338549	23.488562	22.645662	27.815634	28.940544	24.753727	19.000219	21.954693	29.177702	18.904015
AT2G29960.1	167.393600	62.664051	63.340523	150.760010	149.833893	71.516106	113.704941	135.268890	71.076233	163.459259	100.893829	96.168388
AT2G30740.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT2G31510.1	20.147087	46.970352	38.477097	26.827322	25.014807	46.583378	39.773186	35.572956	35.230766	32.472588	13.947011	16.781313
AT2G32600.1	26.711027	19.142651	22.255899	38.182964	28.605656	23.694550	31.071251	31.509701	22.666006	37.303539	42.146000	24.011042
AT2G32830.1	0.098238	1.705753	0.128453	0.605406	0.381987	1.000458	0.731865	0.422533	0.094954	0.318569	2.045419	0.406294
AT2G35740.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT2G36170.1	336.555725	68.229111	243.906235	282.619141	313.284729	77.942642	216.081345	281.059692	278.736572	315.836517	971.198792	253.533646
AT2G36290.1	45.886192	14.154704	10.403563	14.719423	52.590221	14.348340	32.579548	16.479013	10.611948	15.110088	27.925888	24.344725
AT2G37060.3	0.000000	0.000000	3.112577	0.000000	1.453409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT2G40180.1	0.487198	0.000000	0.512733	0.398973	0.507569	0.091598	8.491593	2.139812	0.608086	0.319143	0.000000	0.000000
AT2G42500.1	83.380569	43.321754	50.358257	74.226845	89.964348	43.235886	67.789230	75.112343	48.749798	74.398293	54.856991	91.918968
AT2G43790.1	51.739059	33.371838	29.857456	45.122231	44.698483	34.828270	28.861353	27.485008	31.335865	44.653923	27.957829	30.975580
AT2G44450.1	0.000000	0.000000	0.803496	11.423551	23.088619	0.000000	1.528628	0.302432	4.591455	12.530978	0.000000	4.279191
AT2G45330.1	26.873915	18.356773	10.685287	14.884985	29.123383	18.833210	15.732251	10.960015	12.062764	15.251277	14.371209	19.444214
AT2G47710.1	17.285246	198.816254	59.727531	76.816032	16.723690	196.944977	83.555206	60.642380	53.468853	85.316147	107.564362	85.034012
AT2G47750.1	0.080121	0.208621	9.056476	1.367124	0.048266	0.184239	5.166004	3.815049	9.482897	1.847712	0.000000	0.025235
AT3G02230.1	324.028259	16.189480	120.986885	243.853317	334.460266	17.077206	130.365097	218.258194	126.277580	275.150177	59.437420	321.800079
AT3G02600.1	4.231034	3.758861	7.109241	3.547652	0.000000	3.603117	5.513236	7.223091	3.936794	3.879123	0.000000	6.211513
AT3G04050.1	0.168945	0.909946	0.058319	0.055193	0.202331	0.831847	1.319081	0.498038	0.043110	0.109409	0.114574	0.217312
AT3G05540.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT3G06720.1	0.138479	22.249514	0.321157	0.333748	25.762594	23.432308	1.075044	0.425671	5.743491	23.630836	14.715859	0.094967
AT3G07800.1	10.132674	7.244069	17.545839	11.636080	10.865717	9.722253	14.050115	15.727075	18.430872	13.110991	6.943371	8.396253
AT3G09200.1	674.587708	127.158302	563.825562	628.243408	694.872681	148.260406	458.176025	553.357300	593.409119	723.077148	1432.520996	617.844177
AT3G09840.1	216.142426	189.547791	190.478119	282.854279	236.595306	175.295471	226.553711	249.589783	181.869705	254.271683	233.372345	379.205627
AT3G11730.1	53.347755	47.061932	37.775024	70.462860	54.736851	51.181923	68.168510	67.022995	38.964306	70.337799	91.057945	63.563324
AT3G12620.2	23.296095	6.868188	10.788549	9.732069	13.970945	19.819721	14.868069	10.377536	1.823283	7.632202	0.000000	13.577847
AT3G13790.1	0.000000	0.000000	0.000000	0.000000	17.514179	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT3G15800.1	4.854671	1.124948	2.176967	3.402887	4.798094	0.576691	1.766076	2.182894	2.366491	4.267465	0.000000	1.338628
AT3G16240.1	177.349197	33.359493	427.621643	173.198181	157.659637	40.813328	263.205383	264.811615	428.576813	189.420212	0.905060	9.267561
AT3G18830.1	20.247000	27.736444	16.108269	15.635839	25.508480	25.604403	16.021637	13.376202	17.652164	12.815736	33.306339	53.634491
AT3G19760.1	96.786003	64.607628	102.073013	165.359909	109.784676	65.527000	126.320023	137.786636	102.929131	176.271484	145.158600	127.257690
AT3G22320.1	87.031944	61.048397	71.742699	106.933121	84.837303	62.936516	79.811707	86.364334	71.787956	107.485268	237.341797	52.506485
AT3G22930.1	36.937195	4.353395	1.654122	1.076960	30.100948	3.221130	0.416944	0.716659	1.413520	0.915480	0.000000	1.296698
AT3G23100.1	14.551165	8.514133	12.069426	8.830372	15.582418	12.088938	11.402225	8.807595	8.295200	10.073234	5.969897	7.901647
AT3G23580.1	10.309637	15.656595	24.848732	27.862188	10.792149	12.976018	22.875332	31.975275	27.947508	27.149590	70.244011	9.597312
AT3G23830.1	71.941650	4.086868	56.704662	111.081963	74.070984	3.873453	45.014080	73.909203	42.703842	74.891327	438.705841	51.362736
AT3G25560.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT3G27400.1	13.122169	0.801719	1.067013	0.000000	12.046363	1.134558	0.296345	0.064817	1.039479	0.000000	0.261192	20.019062
AT3G45640.1	50.555668	115.372818	22.524364	13.094439	41.462200	114.366348	57.147617	64.321358	16.200434	16.525625	9.687840	8.846795
AT3G46040.1	205.592926	73.180450	170.916443	233.847870	218.524368	76.787560	188.754807	223.721603	181.996521	255.556717	596.643860	199.636703
AT3G46650.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT3G47590.1	17.366880	12.879342	6.028301	7.369067	14.606412	5.544500	4.142830	3.501939	2.275144	13.535229	3.427533	4.497801
